ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,andy,arti,azu,barrel,bebr,bitto,cako,chaeix,chaos,collen,dank,dans,dem,deo,dire,dis,dowolf,drj133,eggert,ema,fl81,gall,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,kama,kcf,kecleon,lefty,lem,lies,mac,max,mega,mihark,mist,neko,nfun,orange,p0,para,place,plas,pony,prince,prod,prody,pyre,rev,rwlh,sceptile,sergio,shark,skull,sly,snake,sniff,taffer,tazzy,tgs,tked,tre,tunnel,turus,uf8,w1ndzs,wave,xx521,zel
1,New Battle!!!,FightFirstDeusExMachina_Dearest,39,26,65,13,New Battle!!!,,New Battle!!!,New Battle!!!,New Battle!!!,New Battle!!!,New Battle!!!,,FightFirstDeusExMachina_Dearest,FightFirstDeusExMachina_Dearest,,FightFirstDeusExMachina_Dearest,FightFirstDeusExMachina_Dearest,New Battle!!!,FightFirstDeusExMachina_Dearest,FightFirstDeusExMachina_Dearest,FightFirstDeusExMachina_Dearest,FightFirstDeusExMachina_Dearest,New Battle!!!,FightFirstDeusExMachina_Dearest,New Battle!!!,New Battle!!!,New Battle!!!,New Battle!!!,FightFirstDeusExMachina_Dearest,,New Battle!!!,New Battle!!!,New Battle!!!,New Battle!!!,FightFirstDeusExMachina_Dearest,New Battle!!!,FightFirstDeusExMachina_Dearest,New Battle!!!,FightFirstDeusExMachina_Dearest,FightFirstDeusExMachina_Dearest,New Battle!!!,FightFirstDeusExMachina_Dearest,New Battle!!!,New Battle!!!,New Battle!!!,,FightFirstDeusExMachina_Dearest,FightFirstDeusExMachina_Dearest,FightFirstDeusExMachina_Dearest,New Battle!!!,,New Battle!!!,New Battle!!!,,New Battle!!!,FightFirstDeusExMachina_Dearest,,,FightFirstDeusExMachina_Dearest,New Battle!!!,FightFirstDeusExMachina_Dearest,,New Battle!!!,New Battle!!!,New Battle!!!,New Battle!!!,FightFirstDeusExMachina_Dearest,,FightFirstDeusExMachina_Dearest,New Battle!!!,New Battle!!!,,New Battle!!!,New Battle!!!,New Battle!!!,New Battle!!!,FightFirstDeusExMachina_Dearest,FightFirstDeusExMachina_Dearest,New Battle!!!,FightFirstDeusExMachina_Dearest,,New Battle!!!,New Battle!!!,New Battle!!!
2,Main Title,Awakening ~ Nürburgring Suite,25,39,64,14,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Main Title,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,Main Title,Awakening ~ Nürburgring Suite,,Main Title,Main Title,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Main Title,Awakening ~ Nürburgring Suite,Main Title,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Main Title,Main Title,Awakening ~ Nürburgring Suite,Main Title,,Awakening ~ Nürburgring Suite,Main Title,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Main Title,Main Title,Awakening ~ Nürburgring Suite,Main Title,Awakening ~ Nürburgring Suite,Main Title,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Main Title,Main Title,Main Title,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Main Title,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,Main Title,,,Awakening ~ Nürburgring Suite,,Main Title,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Main Title,Main Title,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,Main Title,Awakening ~ Nürburgring Suite,,Main Title,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Main Title,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Main Title
3,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,33,30,63,3,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",,New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,New Bodhum ~ New Bodhum -Aggressive Mix-,New Bodhum ~ New Bodhum -Aggressive Mix-,New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",,New Bodhum ~ New Bodhum -Aggressive Mix-,New Bodhum ~ New Bodhum -Aggressive Mix-,New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,,New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,,New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,,New Bodhum ~ New Bodhum -Aggressive Mix-,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""",,"Live & Learn ...Main Theme of ""Sonic Adventure 2""",New Bodhum ~ New Bodhum -Aggressive Mix-,New Bodhum ~ New Bodhum -Aggressive Mix-,New Bodhum ~ New Bodhum -Aggressive Mix-,,"Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2""","Live & Learn ...Main Theme of ""Sonic Adventure 2"""
4,14.3 Billion Years,Aria Math,25,41,66,16,Aria Math,,Aria Math,14.3 Billion Years,Aria Math,14.3 Billion Years,,,14.3 Billion Years,,,Aria Math,Aria Math,Aria Math,Aria Math,Aria Math,Aria Math,Aria Math,Aria Math,14.3 Billion Years,14.3 Billion Years,14.3 Billion Years,Aria Math,14.3 Billion Years,Aria Math,,Aria Math,14.3 Billion Years,14.3 Billion Years,Aria Math,Aria Math,Aria Math,Aria Math,14.3 Billion Years,Aria Math,Aria Math,Aria Math,14.3 Billion Years,Aria Math,Aria Math,Aria Math,,Aria Math,Aria Math,Aria Math,Aria Math,,14.3 Billion Years,Aria Math,,14.3 Billion Years,14.3 Billion Years,,14.3 Billion Years,14.3 Billion Years,Aria Math,Aria Math,,14.3 Billion Years,14.3 Billion Years,Aria Math,14.3 Billion Years,Aria Math,,Aria Math,14.3 Billion Years,14.3 Billion Years,,Aria Math,14.3 Billion Years,Aria Math,Aria Math,14.3 Billion Years,14.3 Billion Years,Aria Math,Aria Math,14.3 Billion Years,Aria Math,Aria Math,Aria Math
5,T11,Duel VS Fortress Leader,29,36,65,7,Duel VS Fortress Leader,,Duel VS Fortress Leader,Duel VS Fortress Leader,Duel VS Fortress Leader,Duel VS Fortress Leader,,,Duel VS Fortress Leader,,,Duel VS Fortress Leader,T11,Duel VS Fortress Leader,Duel VS Fortress Leader,Duel VS Fortress Leader,T11,T11,Duel VS Fortress Leader,T11,Duel VS Fortress Leader,Duel VS Fortress Leader,T11,T11,T11,,T11,Duel VS Fortress Leader,T11,T11,T11,Duel VS Fortress Leader,Duel VS Fortress Leader,Duel VS Fortress Leader,T11,T11,Duel VS Fortress Leader,Duel VS Fortress Leader,Duel VS Fortress Leader,Duel VS Fortress Leader,Duel VS Fortress Leader,,Duel VS Fortress Leader,Duel VS Fortress Leader,Duel VS Fortress Leader,Duel VS Fortress Leader,,T11,T11,,T11,Duel VS Fortress Leader,,T11,T11,T11,T11,Duel VS Fortress Leader,Duel VS Fortress Leader,,Duel VS Fortress Leader,T11,T11,,Duel VS Fortress Leader,Duel VS Fortress Leader,T11,,T11,T11,Duel VS Fortress Leader,T11,Duel VS Fortress Leader,T11,T11,T11,Duel VS Fortress Leader,,Duel VS Fortress Leader,Duel VS Fortress Leader
6,Mutants over Broadway!,Rage,31,34,65,3,Rage,,Mutants over Broadway!,Mutants over Broadway!,Mutants over Broadway!,Mutants over Broadway!,,,Mutants over Broadway!,Rage,,Mutants over Broadway!,Mutants over Broadway!,Rage,Rage,Mutants over Broadway!,Mutants over Broadway!,Rage,Mutants over Broadway!,Rage,Mutants over Broadway!,Rage,Mutants over Broadway!,Rage,Mutants over Broadway!,Mutants over Broadway!,Rage,Rage,Mutants over Broadway!,Mutants over Broadway!,Mutants over Broadway!,Mutants over Broadway!,Rage,Rage,Rage,Mutants over Broadway!,Rage,Mutants over Broadway!,Rage,Rage,Rage,,Mutants over Broadway!,Rage,Rage,Rage,,Mutants over Broadway!,Rage,,Rage,Rage,,Rage,Mutants over Broadway!,Rage,Mutants over Broadway!,Rage,Rage,,Mutants over Broadway!,Mutants over Broadway!,Rage,,Mutants over Broadway!,Mutants over Broadway!,,,Mutants over Broadway!,Mutants over Broadway!,Mutants over Broadway!,,Rage,Rage,Rage,Rage,Rage,,Rage,Rage
7,Moiety Theme,Wild Woods,27,39,66,12,Wild Woods,,Wild Woods,Moiety Theme,Moiety Theme,Wild Woods,,,Wild Woods,Wild Woods,,Wild Woods,Wild Woods,Moiety Theme,Wild Woods,,Wild Woods,Wild Woods,Wild Woods,Moiety Theme,Moiety Theme,Wild Woods,Wild Woods,Wild Woods,Moiety Theme,Moiety Theme,Wild Woods,Wild Woods,Moiety Theme,Moiety Theme,Moiety Theme,Wild Woods,Moiety Theme,Wild Woods,Moiety Theme,Wild Woods,Moiety Theme,Moiety Theme,Moiety Theme,Moiety Theme,Wild Woods,,Moiety Theme,Wild Woods,Wild Woods,Wild Woods,,Wild Woods,Moiety Theme,,Wild Woods,Wild Woods,,Wild Woods,Moiety Theme,Wild Woods,Wild Woods,Wild Woods,Moiety Theme,,Moiety Theme,Moiety Theme,Moiety Theme,,Wild Woods,Wild Woods,,,Moiety Theme,Wild Woods,Wild Woods,Moiety Theme,Wild Woods,Moiety Theme,Moiety Theme,Wild Woods,Wild Woods,Wild Woods,Wild Woods,Wild Woods
8,About That...,Round,42,25,67,17,About That...,,About That...,About That...,About That...,About That...,,,About That...,Round,,Round,About That...,Round,Round,Round,About That...,About That...,About That...,About That...,About That...,About That...,About That...,About That...,About That...,About That...,Round,About That...,About That...,Round,About That...,About That...,Round,About That...,About That...,Round,Round,About That...,About That...,About That...,About That...,,About That...,Round,About That...,About That...,,Round,Round,,Round,About That...,,About That...,About That...,Round,About That...,Round,About That...,,Round,About That...,Round,,Round,About That...,,,About That...,Round,About That...,Round,About That...,Round,About That...,Round,Round,About That...,About That...,Round
9,FM04: Twin Moon,Funky Dealer,37,26,63,11,FM04: Twin Moon,,FM04: Twin Moon,FM04: Twin Moon,Funky Dealer,Funky Dealer,,FM04: Twin Moon,Funky Dealer,FM04: Twin Moon,,Funky Dealer,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,,FM04: Twin Moon,Funky Dealer,Funky Dealer,Funky Dealer,Funky Dealer,Funky Dealer,Funky Dealer,FM04: Twin Moon,FM04: Twin Moon,,FM04: Twin Moon,Funky Dealer,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,Funky Dealer,Funky Dealer,FM04: Twin Moon,Funky Dealer,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,,Funky Dealer,FM04: Twin Moon,,Funky Dealer,,Funky Dealer,FM04: Twin Moon,,Funky Dealer,Funky Dealer,,,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,,FM04: Twin Moon,Funky Dealer,FM04: Twin Moon,,Funky Dealer,Funky Dealer,,,Funky Dealer,Funky Dealer,Funky Dealer,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,Funky Dealer,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,FM04: Twin Moon,
10,Astral - Prison,Spring Wind Skylark,18,43,61,25,Spring Wind Skylark,,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,,,Astral - Prison,Spring Wind Skylark,,Astral - Prison,Astral - Prison,Astral - Prison,Spring Wind Skylark,,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Astral - Prison,,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Astral - Prison,Spring Wind Skylark,Spring Wind Skylark,Astral - Prison,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,,Spring Wind Skylark,Astral - Prison,,Spring Wind Skylark,,Spring Wind Skylark,,,Spring Wind Skylark,Astral - Prison,,,Spring Wind Skylark,Astral - Prison,Astral - Prison,Spring Wind Skylark,Spring Wind Skylark,,Astral - Prison,Spring Wind Skylark,Astral - Prison,,Spring Wind Skylark,Spring Wind Skylark,,,Astral - Prison,Astral - Prison,Astral - Prison,Astral - Prison,Spring Wind Skylark,Astral - Prison,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,
